despesa,tipo
LEV ATM 3613 DEU 22201292,Fixo
DD NL08502057 STG MOLLIE PAYM MD17-0000-5033-27,Consumo
DD NL08502057 STG MOLLIE PAYM MD66-0000-2516-37,Consumo
DD NL08502057 STG MOLLIE PAYM MD71-0000-0406-26,Consumo
LEV ATM 3613 DEU 22201637,Fixo
Almoco,Almoço
AMZN MKTP DE*2Z7NA2BY5,Nerdisse
Vodafone GmbH CallYa,Fixo
MVG AUTOMATEN,Fixo
IC CASH 01011446,Fixo
EDEKA M ERIKA MANN 880,Almoço
IZ *SOEREN RABE,Almoço
LEV ATM 3613 DEU 49001770 DB D,Fixo
LEV ATM 3613 DEU STADTSPARKASSE FL 142,Fixo
LEV ATM 3613 DEU 49001770 DB D,Fixo
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
Mollie *WeWash GmbH,Consumo
Ind. Rest. Bollywood,Almoço
body + soul group AG & Co. KG,Fixo
IMPOSTO DO SELO,Fixo
MMD DISPONIBILIZACAO CARTAO DEBITO  7869361,Fixo
LEV ATM 3613 DEU IC CASH 01011446,Saques
LEV ATM 3613 DEU IC CASH 01011446,Saques
LEV ATM 3613 DEU REISEBANK FRANKFURT AT FRANKFU,Saques
Mollie *WeWash GmbH,Consumo
KFC 1039,Comida
KFC 1039,Comida
Vodafone GmbH CallYa,Consumo
C & A-MOOSBAC,Roupas
DM-Drogerie Markt,Supermercado
IC CASH 01011446,Saques
KAIMUG RESTAURANT GMBH,Comida
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
EDEKA M ERIKA MANN 880,Almoço
Mollie *WeWash GmbH,Consumo
EDEKA BGL BERGWERK 751,Supermercado
Vodafone GmbH CallYa,Consumo
IC CASH 01011446,Saques
body + soul group AG & Co. KG,Consumo
Almoco,Almoço
Almoco,Almoço
Edeka,Supermercado
Saque,Saques
Edeka,Supermercado
We Wash,Consumo
LEV ATM 3613 DEU 22201637,Saques
LEV ATM 3613 DEU,Saques
LEV ATM 3613 DEU IC CASH 01011446,Saques
LEV ATM 3613 DEU 22201637,Saques
Mollie *WeWash GmbH,Consumo
EDEKA M ERIKA MANN 880,Almoço
MUENCHNER BANK EG,Saques
Vodafone GmbH CallYa,Fixo
Ind. Rest. Bollywood,Almoço
SCHUHBECKS E4 SAT,Almoço
The Spirit of Switzerl,Comida
body + soul group AG & Co. KG,Fixo
Lieferando,Almoço
Edeka,Supermercado
Body+soul,Fixo
Edeka,Supermercado
KFC,Almoço
DM,Supermercado
Edeka,Supermercado
POUSADA FRANGIPANI 03/05 BROTAS BR,Consumo
ANUIDADE DIFERENCIADA 05/12,Fixo
AmazonPrimeBR SAO PAULO BR,Fixo
NETFLIX.COM SAO PAULO BR,Fixo
Google Music SAO PAULO BR,Fixo
IOF TRANSACOES INTERNACIONAIS,Fixo
STEAMGAMES.COM 425-952-2985 DE,Nerdisse
Edeka,Supermercado
Condominio,Fixo
Edeka,Supermercado
Metro,Fixo
Amazon,Nerdisse
Saturn,Nerdisse
Pousada,Consumo
Almoco,Almoço
Pao,Comida
DM,Consumo
Pousada,Consumo
Steam Games,Nerdisse
ANUIDADE DIFERENCIADA 06/12,Fixo
AMAZONPRIMEBR SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
GOOGLE NIANTIC INC SAO PAULO BR,Nerdisse
GOOGLE MUSIC SAO PAULO BR,Nerdisse
Almoco,Almoço
Edeka,Supermercado
Almoco,Almoço
Café da amanha,Comida
Almoco,Almoço
Almoco,Almoço
Edeka,Supermercado
Almoco,Almoço
Edeka,Supermercado
Almoco,Almoço
Muller,Consumo
IOF,Consumo
Cafe da manha,Comida
DM,Consumo
Almoco,Almoço
Cafe da manha,Comida
Apartamento 45,Fixo
Edeka,Supermercado
Saque,Saques
Saque,Saques
DM,Fixo
Metro,Consumo
Metro,Consumo
Edeka,Supermercado
Eletropaulo,Consumo
"05 mai	 TAR PACOTE ITAU ABR/20",Consumo
Cafe da Manha,Comida
Almoco,Almoço
Cafe da Manha,Comida
Almoco,Almoço
DM,Consumo
Almoco,Almoço
Academia,Consumo
Pizza,Comida
Vodafone,Consumo
Cafe da manha,Comida
BAECKEREI ZIEGLER,Almoço
Mollie *WeWash GmbH,Consumo
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
BAECKEREI ZIEGLER,Almoço
MUENCHNER BANK EG,Saques
Baeckerei Ziegler,Comida
Baeckerei Ziegler,Almoço
Baeckerei Ziegler,Almoço
Anuidade,Consumo
Amazon Prime,Consumo
Edeka,Supermercado
Edeka,Supermercado
Almoco,Almoço
Cafe da Manha,Comida
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Cafe da Manha,Comida
Pizza,Comida
Condominio,Fixo
Netflix,Nerdisse
Google Music,Nerdisse
Niantic,Nerdisse
Niantic 2,Nerdisse
Edeka,Supermercado
Edeka,Supermercado
Metro,Fixo
Edeka,Supermercado
Almoco,Almoço
Cafe Da Manha,Comida
Almoco,Almoço
Prestacao Casa,Fixo
Edeka,Almoço
Metro,Consumo
Havaiana,Roupas
Academia,Fixo
Almoco,Almoço
Almoco,Almoço
Celular,Fixo
Almoco,Almoço
Cafe Da Manha,Comida
Cafe Da Manha,Comida
Eletropaulo,Consumo
Pacote Itau,Fixo
Google Niantic,Nerdisse
Edeka,Supermercado
Steam Games,Nerdisse
Isabela Flores,Fixo
Anuidade,Fixo
Edeka,Supermercado
Saturn,Nerdisse
Almoco,Almoço
Almoco,Almoço
We Wash,Consumo
Cafe da Manha,Comida
Almoco,Almoço
Edeka,Supermercado
Almoco,Almoço
Cafe Da Manha,Comida
Saque,Saques
Metro,Consumo
Kamila,Consumo
Edeka,Supermercado
KFC,Almoço
Almoco,Almoço
Condomio,Fixo
Pagamento Solange,Fixo
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Cafe Da Manha,Comida
Almoco,Almoço
Amazon Prime,Nerdisse
Netflix,Nerdisse
Multa,Fixo
Google Music,Nerdisse
Edeka,Supermercado
Edeka,Supermercado
Metro,Fixo
Edeka,Supermercado
Eletropaulo,Consumo
Apartamento #47,Fixo
IOF Despesas,Nerdisse
Juros Mora,Fixo
Encargos,Fixo
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Uber,Consumo
Edeka,Almoço
Uber,Consumo
Almoco,Almoço
Academia,Consumo
Edeka,Supermercado
Transporte,Fixo
Edeka,Almoço
Cafe da manha,Comida
Saque,Saques
Edeka,Supermercado
We Wash,Consumo
Anuidade,Fixo
Pacote Itau,Fixo
Condominio,Fixo
Edeka,Almoço
Edeka,Almoço
Edeka,Supermercado
Saque,Saques
Depilacao,Consumo
Edeka,Supermercado
Almoco,Almoço
Edeka,Almoço
Edeka,Almoço
Edeka,Supermercado
C&A,Roupas
Edeka,Almoço
Edeka,Almoço
Amazon,Nerdisse
Netflix,Nerdisse
Google Music,Nerdisse
We Wash,Consumo
Vodaphone,Consumo
Saque,Saques
Edeka,Almoço
Edeka,Almoço
Edeka,Supermercado
Edeka,Supermercado
Almoco,Almoço
Cafe Da Manha,Comida
Janta,Comida
Pagamento extra fatura,Fixo
Eletropaulo,Consumo
Almoco,Almoço
Transporte,Fixo
Mascaras,Consumo
Edeka,Supermercado
Metro,Consumo
Metro Volta,Consumo
Sundae,Comida
KFC,Comida
Saque,Saques
Cafe da manha,Comida
Academia,Fixo
Almoco,Almoço
Edeka,Supermercado
Edeka,Supermercado
Almoco,Almoço
Saque,Saques
Edeka,Supermercado
Almoco,Almoço
Condominio,Fixo
Manutencao Conta,Fixo
Anuidade,Fixo
AmazonPrimeBR SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
we wash,Consumo
Edeka,Supermercado
Depilacao,Consumo
Almoco,Almoço
Almoco,Almoço
We Wash,Consumo
Edeka,Almoço
Jantar,Comida
Cafe da Manha,Comida
Edeka,Supermercado
Cafe da Manha,Supermercado
Google Music,Nerdisse
we wash,Consumo
we wash,Consumo
we wash,Consumo
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Vodaphone,Consumo
Uber,Consumo
Jogo,Nerdisse
KFC,Comida
Edeka,Supermercado
Saque,Saques
Academia,Consumo
Edeka,Supermercado
Edeka,Almoço
WeWash,Consumo
Pacote banco,Consumo
Anuidade,Consumo
Edeka,Supermercado
Edeka,Almoço
Transporte,Fixo
Cafe Da Manha,Comida
Almoco,Almoço
Pizza,Comida
Edeka,Almoço
Condominio,Fixo
Eletropaulo,Consumo
Amazon Prime,Nerdisse
Saque,Saques
Edeka,Supermercado
Dm,Supermercado
Bar,Comida
Edeka,Almoço
Almoco,Almoço
cafe da manha,Comida
Cafe da manha,Comida
Edeka,Supermercado
Almoco,Almoço
Aldi,Supermercado
Edeka,Almoço
Edeka,Supermercado
Cervejada,Comida
Uber,Final de Semana
Cafe Da Manha,Comida
Mc Donalds,Comida
Cafe Da Manha,Comida
Almoco,Almoço
Cafe Da Manha,Comida
Almoco,Almoço
Saque,Saques
Edeka,Supermercado
Edeka,Supermercado
KFC,Comida
WeWash,Consumo
N26 Desconto,Consumo
WeWash,Consumo
Almoco,Almoço
Cafe Da Manha,Comida
Saque,Saques
Solange,Fixo
Manutencao,Fixo
Eletropaulo,Consumo
Netflix,Nerdisse
Google Music,Nerdisse
Transporte,Fixo
Edeka,Supermercado
Edeka,Supermercado
VodaPhone,Fixo
Almoco,Almoço
Limpeza,Consumo
Presente Vo,Fixo
Documento Casa,Fixo
Condominio,Fixo
DECOLAR GUARULHOS BR,Consumo
ANUIDADE DIFERENCIADA 12/12,Fixo
AmazonPrimeBR SAO PAULO BR,Nerdisse
NETFLIX.COM SAO PAULO BR,Nerdisse
Depilacao,Consumo
Saque,Saques
Edeka,Supermercado
Academia,Fixo
Google Music,Nerdisse
Edeka,Supermercado
Edeka,Supermercado
WeWash,Consumo
Edeka,Supermercado
Almoco,Almoço
Almoco,Almoço
Almoco,Almoço
Body and Soul,Consumo
KFC,Almoço
Eletropaulo,Fixo
BRITISH AIRW3778194563 SAO PAULO BR,Consumo
Saque,Saques
Edeka,Supermercado
Edeka,Supermercado
Vodaphone,Consumo
Tarifa Doc,Fixo
Pacote Itau,Fixo
Edeka,Supermercado
Pizza,Comida
Edeka,Supermercado
Almoco,Almoço
Saque,Saques
Edeka,Supermercado
Almoco,Almoço
Condominio,Fixo
Edeka,Supermercado
Saque,Saques
Metro,Consumo
Edeka,Supermercado
saque,Saques
Metro,Consumo
Edeka,Supermercado
Diablo,Nerdisse
steam,Nerdisse
steam,Nerdisse
amazom prime,Nerdisse
netflix,Nerdisse
Multa por Atraso,Consumo
Niantic,Nerdisse
Apple plus,Nerdisse
Decolar,Consumo
iof,Consumo
juros de mora,Consumo
Encargos,Fixo
We Wash,Consumo
academina,Fixo
RSHOP-CARREFOUR S,Supermercado
RSHOP-PAG*FATIMAM,Comida
TAR PACOTE ITAU   NOV/20,Consumo
RSHOP-PAG*FATIMAM,Comida
RSHOP-PAG*ItalvaP,Comida
INT TED 237195600184071,Final de Semana
RSHOP-PAG*ItalvaP,Comida
RSHOP-DROG SAO PA,Consumo
RSHOP-LOJAS RENNE,Roupas
RSHOP-REIKI TERAP,Consumo
RSHOP-SP MOOCA PL,Roupas
RSHOP-BEAT BURGER,Comida
RSHOP-JARDINEIRA,Comida
RSHOP-POSTO MANTO,Gasolina
RSHOP-HOTEL RESTA,Comida
RSHOP-MERCPAGO,Final de Semana
RSHOP-PAG*Darlete,Comida
RSHOP-PAG*FABRICI,Comida
RSHOP-PAMONHAS DE,Comida
RSHOP-POSTO BEIRA,Final de Semana
RSHOP-POSTO PETRO,Gasolina
RSHOP-REDE 500 CO,Gasolina
RSHOP-UAI QUEIJAR,Comida
INT PAG TIT 109005210021,Fixo
RSHOP-POSTO 5,Gasolina
DA  ELETROPAULO 56301179,Consumo
RSHOP-CARREFOUR S,Supermercado
RSHOP-CARREFOUR S,Supermercado
RSHOP-PAG*SLViage,Consumo
RSHOP-SODIMAC ANC,Fixo
STEAMGAMES.COM 4259522 Hamburg DE,Nerdisse
UBER * *TRIP Sao Paulo BR,Carro
AmazonPrimeBR SAO PAULO BR,Nerdisse
UBER * *TRIP Sao Paulo BR,Carro
UBER *TRIP Sao Paulo BR,Carro
UBER* TRIP SAO PAULO BR,Carro
ifood *IFOOD OSASCO BR,Comida
ifood *IFOOD OSASCO BR,Comida
ifood *IFOOD OSASCO BR,Comida
ifood *IFOOD OSASCO BR,Comida
ifood *IFOOD OSASCO BR,Comida
UBER *TRIP Sao Paulo BR,Carro
UBER* TRIP SAO PAULO BR,Carro
ANUIDADE DIFERENCIADA 02/12,Fixo
The Walt Disney Compan SAO PAULO BR,Nerdisse
SERVICOS CLA*119617506 RIO DE JANEIR BR,Consumo
UBER *TRIP Sao Paulo BR,Carro
NETFLIX.COM SAO PAULO BR,Nerdisse
ifood *IFOOD OSASCO BR,Comida
IFD*BR JUNDIAI BR,Comida
ifood *IFOOD OSASCO BR,Comida
LOCALIZA RAC ACCAE1 01/10 SAO CAETANO BR,Final de Semana
CARREFOUR.COM CAJAMAR BR,Supermercado
CARREFOUR.COM CAJAMAR BR,Supermercado
KLM BSP TLS SAO PAULO BR,Final de Semana
Academia,Consumo
Cafe da manha',Comida
Cafe da manha',Comida
LUz,Fixo
Exame,Consumo
internet,Fixo
Exame 2,Consumo
Mercado,Supermercado
outback,Final de Semana
Pastel,Comida
Gasolina,Gasolina
Cabelereiro,Consumo
IFD*BR JUNDIAI BR,Supermercado
CONECTCAR CARRO LOCALI BARUERI BR,Final de Semana
CONECTCAR CARRO LOCALI BARUERI BR,Final de Semana
UBER *TRIP Sao Paulo BR,Carro
ifood *IFOOD OSASCO BR,Comida
"APPLE,COM/BILL SAO PAULO BR",Nerdisse
UBER *TRIP Sao Paulo BR,Carro
ifood *IFOOD OSASCO BR,Comida
UBER *TRIP Sao Paulo BR,Carro
UBER *TRIP Sao Paulo BR,Carro
ifood *IFOOD OSASCO BR,Comida
UberBR UBER * PENDING SAO PAULO BR,Carro
IFD*BR JUNDIAI BR,Supermercado
IOF TRANSACOES INTERNACIONAIS,Fixo
UBER *TRIP Sao Paulo BR,Carro
Rappi Brasil Intermedi Sao Paulo BR,Consumo
ifood *IFOOD OSASCO BR,Comida
ifood *IFOOD OSASCO BR,Comida
UBER *TRIP Sao Paulo BR,Carro
IFD*BR JUNDIAI BR,Supermercado
UBER* TRIP SAO PAULO BR,Carro
UBER *TRIP Sao Paulo BR,Carro
ifood *IFOOD OSASCO BR,Comida
Uber,Carro
Uber,Carro
Café da Manhã,Comida
Café da Manhã,Comida
Saque,Saques
Manutenção,Fixo
Imposto,Fixo
